Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,LOG_Credit_Limit,LOG_Avg_Open_To_Buy,LOG_Avg_Utilization_Ratio,Gender_F,Gender_M,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Card_Category_Blue,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver,Education_Group_High Education,Education_Group_Low Education,Education_Group_Medium Education,Education_Group_Unknown,Income_Group_High Income,Income_Group_Low Income,Income_Group_Middle Income,Income_Group_Unknown
54,2,36,6,3,1,2517,0.665,2313,43,0.536,8.18646442942209,6.980075940561763,0.5312163134137247,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
36,3,26,3,2,3,939,1.575,2547,45,0.731,9.747827400695664,9.691407573577898,0.0535407669280298,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False
45,2,26,6,2,4,0,0.743,8697,62,0.59,8.36822903827628,8.36822903827628,0.0,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False
44,5,38,2,1,3,2459,0.691,13598,119,0.725,8.254008590564844,7.232733136177615,0.494696241836107,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
40,5,35,3,1,3,1693,0.502,1269,30,0.875,7.803435056952168,6.628041376179533,0.5259112611840315,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False
46,0,36,6,2,1,1631,0.99,4619,83,0.694,7.898411092811599,6.967909201801884,0.4737466155245699,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False
45,3,33,5,3,4,2198,0.465,1918,31,0.292,8.377011160816375,7.672292455628756,0.4094571293777018,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True
48,4,30,2,3,2,0,1.058,4955,56,0.806,7.97728198675515,7.97728198675515,0.0,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False
48,3,36,4,2,2,1238,0.624,4348,90,0.837,8.625868208041894,8.374707543119483,0.2004888607494035,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False
38,2,36,5,3,4,1278,1.31,2493,44,0.913,9.345308232386667,9.22690246027516,0.1061601958283906,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False
51,3,41,1,3,3,2068,0.741,13810,124,0.797,9.206332350578643,8.973604867142505,0.1889660995126232,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
42,4,37,3,3,1,0,0.547,2232,41,0.464,8.32845106681936,8.32845106681936,0.0,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False
43,4,28,3,2,4,0,0.544,2060,39,0.625,9.810823867672708,9.810823867672708,0.0,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False
51,1,36,3,3,3,1794,0.848,2839,47,0.808,9.087155271405804,8.860357273327022,0.1848184369925418,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False
38,3,26,3,3,2,0,0.399,1585,32,0.455,7.271912163268625,7.271912163268625,0.0,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
34,1,25,1,2,3,0,0.718,2721,54,0.688,8.031060180240619,8.031060180240619,0.0,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False
51,1,43,5,2,4,1731,0.712,3690,76,0.52,9.171599543659752,8.97322466309509,0.1655144384775733,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
57,4,36,2,2,3,2219,1.078,9040,63,0.8,9.524786081697178,9.348013177101256,0.1501426584297195,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False
40,3,29,6,2,4,458,0.466,1811,44,0.517,7.299797366758161,6.92951677076365,0.2700271372130601,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False
47,3,35,4,3,2,0,0.92,2816,38,0.52,7.418780882750794,7.418780882750794,0.0,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False
33,2,36,3,3,5,0,0.769,7729,82,1.0,9.688312170871097,9.688312170871097,0.0,False,True,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False
49,3,44,5,2,2,2008,0.691,1300,33,0.5,9.98142034359255,9.883947890661512,0.0889262091944015,False,True,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False
45,3,36,4,3,3,1595,0.743,1914,45,0.5,9.002331708246244,8.783702698635217,0.17898265552844,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
48,3,42,3,2,4,0,0.807,2013,32,0.455,9.856186279418116,9.856186279418116,0.0,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
38,2,28,3,2,2,0,0.419,738,16,0.231,8.885440911707585,8.885440911707585,0.0,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False
45,3,35,6,3,2,1362,0.68,3555,75,0.471,8.53030683056162,8.21716859576607,0.2382291887322506,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
60,2,42,3,3,2,0,0.061,1628,42,0.077,7.271912163268625,7.271912163268625,0.0,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False
37,2,29,5,2,6,0,0.9,8600,94,0.843,9.40951904583656,9.40951904583656,0.0,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False
39,2,29,3,3,2,913,0.568,3906,78,0.592,9.21283725217477,9.117347505127018,0.0870947068509337,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
65,1,36,5,1,2,1131,0.624,4028,81,0.8,8.520985989654934,8.265650165580329,0.2029408439966903,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True
55,3,46,2,4,2,0,0.882,7914,54,0.862,8.337827262447915,8.337827262447915,0.0,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
40,2,28,5,5,2,1123,0.539,3441,69,0.468,9.615805480084347,9.53798807237101,0.0723206615796261,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True
41,4,31,3,3,2,868,0.808,2535,44,0.467,9.892578262028092,9.84771053706713,0.0430594894604469,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False
54,3,39,4,3,3,0,0.651,4857,92,0.804,7.475905969367397,7.475905969367397,0.0,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False
61,0,36,4,3,4,0,0.457,2285,46,0.643,7.473637108496206,7.473637108496206,0.0,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False
43,3,38,3,5,1,2305,0.636,7279,83,0.627,10.063052122207466,9.959631563154169,0.0934903430873388,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False
46,5,40,3,3,3,925,0.804,4615,90,0.667,7.373374309910049,6.504288173536645,0.4580575582273349,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
51,2,41,4,2,3,0,0.721,3736,55,0.719,10.327479965258176,10.327479965258176,0.0,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False
53,1,36,2,2,3,0,0.672,799,17,0.214,7.271912163268625,7.271912163268625,0.0,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False
55,0,35,5,1,3,1978,0.675,1749,41,0.577,8.225770799348734,7.471932078245122,0.4252677354043441,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False
58,0,46,5,4,2,0,0.868,2341,37,0.37,7.589841512182657,7.589841512182657,0.0,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False
