Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Churn,Education_Group,Income_Group,LOG_Credit_Limit,LOG_Avg_Open_To_Buy,LOG_Avg_Utilization_Ratio
45,M,3,High School,Married,$60K - $80K,Blue,39,5,1,3,12691.0,777,11914.0,1.335,1144,42,1.625,0.061,0,Low Education,Middle Income,9.448727152703086,9.385553389532843,0.05921185963184608
49,F,5,Graduate,Single,Less than $40K,Blue,44,6,1,2,8256.0,864,7392.0,1.541,1291,33,3.714,0.105,0,Medium Education,Low Income,9.01881660441743,8.9082888855571,0.09984533496971613
51,M,3,Graduate,Married,$80K - $120K,Blue,36,4,1,0,3418.0,0,3418.0,2.594,1887,20,2.333,0.0,0,Medium Education,Middle Income,8.137103389639302,8.137103389639302,0.0
40,F,4,High School,Unknown,Less than $40K,Blue,34,3,4,1,3313.0,2517,796.0,1.405,1171,20,2.333,0.76,0,Low Education,Low Income,8.105911197986508,6.680854678790215,0.5653138090500605
40,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,1,0,4716.0,0,4716.0,2.175,816,28,2.5,0.0,0,Low Education,Middle Income,8.458928283284262,8.458928283284262,0.0
44,M,2,Graduate,Married,$40K - $60K,Blue,36,3,1,2,4010.0,1247,2763.0,1.376,1088,24,0.846,0.311,0,Medium Education,Low Income,8.296795865770052,7.92443418488756,0.2707902047815628
51,M,4,Unknown,Married,$120K +,Gold,46,6,1,3,34516.0,2264,32252.0,1.975,1330,31,0.722,0.066,0,Unknown,High Income,10.44920723527944,10.381366341153338,0.0639133257436528
32,M,0,High School,Unknown,$60K - $80K,Silver,27,2,2,2,29081.0,1396,27685.0,2.204,1538,36,0.714,0.048,0,Low Education,Middle Income,10.277874705073431,10.22868214924768,0.04688358589885042
37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,2,0,22352.0,2517,19835.0,3.355,1350,24,1.182,0.113,0,Low Education,Middle Income,10.014715819221838,9.895253747609024,0.10705907229340778
48,M,2,Graduate,Single,$80K - $120K,Blue,36,6,3,3,11656.0,1677,9979.0,1.524,1441,32,0.882,0.144,0,Medium Education,Middle Income,9.363662136919832,9.20833836930551,0.13453089295760615
42,M,5,Uneducated,Unknown,$120K +,Blue,31,5,3,2,6748.0,1467,5281.0,0.831,1201,42,0.68,0.217,0,Low Education,High Income,8.817149624743406,8.572060092857077,0.19638881400539013
65,M,1,Unknown,Married,$40K - $60K,Blue,54,6,2,3,9095.0,1587,7508.0,1.433,1314,26,1.364,0.174,0,Unknown,Low Income,9.115590035430372,8.923857580099885,0.16041672140590468
56,M,1,College,Single,$80K - $120K,Blue,36,3,6,0,11751.0,0,11751.0,3.397,1539,17,3.25,0.0,0,Medium Education,Middle Income,9.371778717853713,9.371778717853713,0.0
35,M,3,Graduate,Unknown,$60K - $80K,Blue,30,5,1,3,8547.0,1666,6881.0,1.163,1311,33,2.0,0.195,0,Medium Education,Middle Income,9.053452616439039,8.836664586357426,0.178146185383474
57,F,2,Graduate,Married,Less than $40K,Blue,48,5,2,2,2436.0,680,1756.0,1.19,1570,29,0.611,0.279,0,Medium Education,Low Income,7.798523053625206,7.471363088187097,0.24607852259670565
44,M,4,Unknown,Unknown,$80K - $120K,Blue,37,5,1,2,4234.0,972,3262.0,1.707,1348,27,1.7,0.23,0,Unknown,Middle Income,8.351138607086154,8.09040229659332,0.20701416938432612
48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,2,3,30367.0,2362,28005.0,1.708,1671,27,0.929,0.078,0,High Education,Middle Income,10.321144701409654,10.240174051915723,0.07510747248680541
41,M,3,Unknown,Married,$80K - $120K,Blue,34,4,4,1,13535.0,1291,12244.0,0.653,1028,21,1.625,0.095,0,Unknown,Middle Income,9.513108081846005,9.412872969386267,0.09075436326846414
61,M,1,High School,Married,$40K - $60K,Blue,56,2,2,3,3193.0,2517,676.0,1.831,1336,30,1.143,0.788,0,Low Education,Low Income,8.069029328774958,6.517671272912275,0.5810976767513224
45,F,2,Graduate,Married,Unknown,Blue,37,6,1,2,14470.0,1157,13313.0,0.966,1207,21,0.909,0.08,0,Medium Education,Unknown,9.579901925737992,9.496571392160648,0.07696104113612832
47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,20979.0,1800,19179.0,0.906,1178,27,0.929,0.086,0,High Education,Middle Income,9.951324881950288,9.86162334843743,0.08250122151174369
62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0.0,1,Medium Education,Low Income,7.271912163268625,7.271912163268625,0.0
41,M,3,High School,Married,$40K - $60K,Blue,33,4,2,1,4470.0,680,3790.0,1.608,931,18,1.571,0.152,0,Low Education,Low Income,8.405367376233981,8.240385115516334,0.1414995622736995
47,F,4,Unknown,Single,Less than $40K,Blue,36,3,3,2,2492.0,1560,932.0,0.573,1126,23,0.353,0.626,0,Unknown,Low Income,7.821242083523558,6.838405200847344,0.48612301112561884
54,M,2,Unknown,Married,$80K - $120K,Blue,42,4,2,3,12217.0,0,12217.0,1.075,1110,21,0.75,0.0,0,Unknown,Middle Income,9.410665553209713,9.410665553209713,0.0
41,F,3,Graduate,Single,Less than $40K,Blue,28,6,1,2,7768.0,1669,6099.0,0.797,1051,22,0.833,0.215,0,Medium Education,Low Income,8.95789673495042,8.716044050161402,0.19474407679251177
